vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-03-01 00:24:41,2019-03-01 00:25:31,1,.00,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-03-01 00:25:27,2019-03-01 00:36:37,2,3.70,1,N,95,130,1,13,0.5,0.5,0.7,0,0.3,15,0
1,2019-03-01 00:05:21,2019-03-01 00:38:23,1,14.10,1,N,249,28,1,41,3,0.5,10.1,5.76,0.3,60.66,2.5
1,2019-03-01 00:48:55,2019-03-01 01:06:03,1,9.60,1,N,138,98,2,27,0.5,0.5,0,0,0.3,28.3,0
1,2019-03-01 00:11:42,2019-03-01 00:16:40,1,.80,1,N,48,48,1,5.5,3,0.5,3,0,0.3,12.3,2.5
1,2019-03-01 00:45:03,2019-03-01 00:49:38,1,1.20,1,N,246,48,2,6,3,0.5,0,0,0.3,9.8,2.5
1,2019-03-01 00:02:37,2019-03-01 00:07:30,1,.60,1,Y,239,238,2,5.5,3,0.5,0,0,0.3,9.3,2.5
2,2019-02-28 19:52:45,2019-02-28 20:01:54,1,5.65,1,N,132,197,2,17,0.5,0.5,0,0,0.3,18.3,0
2,2019-03-01 00:14:23,2019-03-01 00:19:17,1,1.16,1,N,229,170,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
2,2019-03-01 00:19:09,2019-03-01 00:23:30,1,.71,1,N,137,234,1,5,0.5,0.5,1,0,0.3,9.8,2.5
2,2019-03-01 00:06:46,2019-03-01 00:17:09,5,2.63,1,N,231,246,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
1,2019-03-01 00:00:46,2019-03-01 00:26:41,1,5.00,1,N,230,7,3,20.5,3,0.5,0,0,0.3,24.3,2.5
2,2019-03-01 00:00:40,2019-03-01 00:49:26,2,14.04,1,N,170,123,1,45.5,0.5,0.5,14.79,0,0.3,64.09,2.5
1,2019-03-01 00:21:46,2019-03-01 00:30:25,1,2.00,1,N,143,263,1,9,3,0.5,2.55,0,0.3,15.35,2.5
2,2019-03-01 00:25:16,2019-03-01 00:31:39,5,2.11,1,N,229,236,1,8,0.5,0.5,2,0,0.3,13.8,2.5
1,2019-03-01 00:03:09,2019-03-01 00:49:16,1,6.80,1,N,162,49,2,31.5,3,0.5,0,0,0.3,35.3,2.5
2,2019-03-01 00:55:49,2019-03-01 01:11:06,1,5.97,1,N,152,153,2,19,0.5,0.5,0,0,0.3,20.3,0
1,2019-03-01 00:35:42,2019-03-01 00:47:06,1,3.40,1,N,162,74,1,12,3,0.5,1.5,0,0.3,17.3,2.5
2,2019-03-01 00:45:03,2019-03-01 01:14:25,1,16.89,2,N,132,229,1,52,0,0.5,11.06,0,0.3,66.36,2.5
1,2019-03-01 00:42:38,2019-03-01 01:02:58,1,5.40,1,N,25,246,1,19.5,3,0.5,3.5,0,0.3,26.8,2.5
1,2019-03-01 00:26:45,2019-03-01 00:45:42,0,10.60,1,N,138,144,1,30,3,0.5,6.75,0,0.3,40.55,2.5
1,2019-03-01 00:54:07,2019-03-01 01:01:53,0,1.80,1,N,144,90,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
1,2019-03-01 00:25:52,2019-03-01 00:31:29,1,1.00,1,N,249,125,1,6,3,0.5,1.95,0,0.3,11.75,2.5
1,2019-03-01 00:17:10,2019-03-01 00:41:03,1,6.10,1,N,137,7,2,21.5,3,0.5,0,0,0.3,25.3,2.5
2,2019-03-01 00:40:30,2019-03-01 01:01:37,3,4.49,1,N,107,25,1,18,0.5,0.5,4.36,0,0.3,26.16,2.5
2,2019-03-01 00:12:19,2019-03-01 00:53:34,4,18.66,2,N,132,68,1,52,0,0.5,15.26,5.76,0.3,76.32,2.5
2,2019-03-01 00:13:43,2019-03-01 00:21:39,2,1.67,1,N,107,161,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2019-03-01 00:10:51,2019-03-01 00:28:23,1,3.35,1,N,162,231,1,14,0.5,0.5,2.67,0,0.3,20.47,2.5
2,2019-03-01 00:46:39,2019-03-01 00:55:10,1,1.62,1,N,231,88,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
1,2019-03-01 00:11:09,2019-03-01 00:12:40,1,.10,1,N,161,161,2,3,3,0.5,0,0,0.3,6.8,2.5
1,2019-03-01 00:42:29,2019-03-01 00:58:55,1,4.00,1,N,137,143,1,14.5,3,0.5,3,0,0.3,21.3,2.5
1,2019-03-01 00:18:31,2019-03-01 00:21:14,2,.50,1,N,148,79,1,4,3,0.5,1.5,0,0.3,9.3,2.5
1,2019-03-01 00:31:33,2019-03-01 00:49:14,0,2.50,1,N,68,144,1,12.5,3,0.5,1,0,0.3,17.3,2.5
1,2019-03-01 00:04:03,2019-03-01 00:12:11,1,1.50,1,N,164,68,2,8,3,0.5,0,0,0.3,11.8,2.5
1,2019-03-01 00:54:39,2019-03-01 01:00:48,1,1.50,1,N,48,237,1,7,3,0.5,2.15,0,0.3,12.95,2.5
1,2019-03-01 00:04:37,2019-03-01 00:57:05,1,6.40,1,N,142,256,1,33.5,3,0.5,9.3,0,0.3,46.6,2.5
1,2019-03-01 00:03:34,2019-03-01 00:29:47,1,10.80,1,N,132,225,1,32,0.5,0.5,6.65,0,0.3,39.95,0
1,2019-03-01 00:35:05,2019-03-01 00:37:30,1,.50,1,N,61,61,2,4,0.5,0.5,0,0,0.3,5.3,0
1,2019-03-01 00:07:06,2019-03-01 00:28:01,0,8.70,1,N,144,89,1,26.5,3,0.5,4.7,0,0.3,35,2.5
1,2019-03-01 00:13:24,2019-03-01 00:18:10,1,1.10,1,N,140,162,1,5.5,3,0.5,1.86,0,0.3,11.16,2.5
1,2019-03-01 00:47:57,2019-03-01 01:04:20,1,8.70,1,N,87,14,1,25.5,3,0.5,5,0,0.3,34.3,2.5
1,2019-03-01 00:19:02,2019-03-01 00:39:47,1,5.80,1,N,237,244,2,19,3,0.5,0,0,0.3,22.8,2.5
2,2019-02-28 23:59:46,2019-03-01 00:03:57,1,.82,1,N,234,170,1,5,0.5,0.5,2,0,0.3,10.8,2.5
2,2019-03-01 00:18:07,2019-03-01 00:26:39,1,.98,1,N,107,114,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,2019-03-01 00:43:53,2019-03-01 00:54:13,1,3.68,1,N,79,75,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
1,2019-03-01 00:44:26,2019-03-01 01:18:20,1,19.60,2,N,132,249,1,52,2.5,0.5,12.2,5.76,0.3,73.26,2.5
1,2019-03-01 00:27:35,2019-03-01 00:50:42,1,9.90,1,N,132,177,1,29,0.5,0.5,6.05,0,0.3,36.35,0
2,2019-03-01 00:06:49,2019-03-01 00:15:10,1,2.50,1,N,41,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2019-03-01 00:32:35,2019-03-01 00:42:22,1,1.50,1,N,50,230,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5
1,2019-03-01 00:12:24,2019-03-01 00:34:52,1,3.90,1,N,186,88,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
1,2019-03-01 00:04:21,2019-03-01 00:27:06,1,4.70,1,N,237,209,1,18,3,0.5,5.45,0,0.3,27.25,2.5
1,2019-03-01 00:56:40,2019-03-01 01:08:23,1,5.40,1,N,238,243,1,17.5,3,0.5,4.25,0,0.3,25.55,2.5
2,2019-03-01 00:12:26,2019-03-01 00:21:44,2,2.21,1,N,246,50,1,9.5,0.5,0.5,3.32,0,0.3,16.62,2.5
2,2019-03-01 00:28:58,2019-03-01 00:46:57,2,4.43,1,N,48,145,1,16,0.5,0.5,5.94,0,0.3,25.74,2.5
2,2019-02-28 23:59:29,2019-03-01 00:04:47,1,1.95,1,N,142,151,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5
2,2019-03-01 00:14:57,2019-03-01 00:24:23,1,2.62,1,N,239,74,1,10,0.5,0.5,0,0,0.3,13.8,2.5
1,2019-03-01 00:25:34,2019-03-01 00:31:19,1,1.40,1,N,100,107,1,6,3,0.5,1.2,0,0.3,11,2.5
2,2019-03-01 00:46:37,2019-03-01 00:49:33,1,.56,1,N,90,107,1,4,0.5,0.5,1.95,0,0.3,9.75,2.5
2,2019-03-01 00:08:33,2019-03-01 00:22:31,1,2.57,1,N,107,163,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,2019-03-01 00:32:44,2019-03-01 00:39:20,1,1.48,1,N,48,246,1,6.5,0.5,0.5,0.52,0,0.3,10.82,2.5
1,2019-03-01 00:34:22,2019-03-01 00:38:35,1,1.20,1,N,158,186,1,5.5,3,0.5,2.3,0,0.3,11.6,2.5
1,2019-03-01 00:49:35,2019-03-01 00:54:13,2,1.10,1,N,162,140,1,6,3,0.5,1.5,0,0.3,11.3,2.5
1,2019-03-01 00:00:13,2019-03-01 00:16:03,3,2.40,1,N,45,158,1,12,3,0.5,0.47,0,0.3,16.27,2.5
1,2019-03-01 00:45:06,2019-03-01 01:03:38,1,3.90,1,N,232,189,1,16,3,0.5,3.95,0,0.3,23.75,2.5
2,2019-03-01 00:13:46,2019-03-01 00:15:56,1,.67,1,N,141,236,1,4,0.5,0.5,2.34,0,0.3,10.14,2.5
2,2019-03-01 00:52:52,2019-03-01 01:11:06,1,6.61,1,N,79,41,1,19.5,0.5,0.5,2,0,0.3,25.3,2.5
2,2019-03-01 00:02:09,2019-03-01 00:21:35,5,2.99,1,N,48,224,1,14.5,0.5,0.5,3.66,0,0.3,21.96,2.5
1,2019-03-01 00:44:20,2019-03-01 01:02:42,1,8.50,1,N,138,141,1,25,3,0.5,5,5.76,0.3,39.56,2.5
1,2019-03-01 00:00:08,2019-03-01 00:08:26,4,1.70,1,N,50,162,1,7.5,3,0.5,2.25,0,0.3,13.55,2.5
1,2019-03-01 00:39:28,2019-03-01 01:00:17,1,4.90,1,N,50,112,1,18.5,3,0.5,4,0,0.3,26.3,2.5
1,2019-03-01 00:05:06,2019-03-01 00:09:17,1,.50,1,N,158,114,2,4.5,3,0.5,0,0,0.3,8.3,2.5
1,2019-03-01 00:12:01,2019-03-01 00:26:40,1,2.60,1,N,211,233,1,12,3,0.5,2,0,0.3,17.8,2.5
1,2019-03-01 00:26:07,2019-03-01 00:58:26,3,10.10,1,N,97,43,1,34,3,0.5,9.4,0,0.3,47.2,2.5
2,2019-03-01 00:15:51,2019-03-01 00:15:59,1,.02,1,N,193,193,3,-2.5,-0.5,-0.5,0,0,-0.3,-3.8,0
2,2019-03-01 00:15:51,2019-03-01 00:15:59,1,.02,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-03-01 00:52:50,2019-03-01 01:11:51,1,4.70,1,N,90,262,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
1,2019-03-01 00:14:27,2019-03-01 00:27:40,1,2.80,1,N,100,239,1,12,3,0.5,3.15,0,0.3,18.95,2.5
1,2019-03-01 00:27:15,2019-03-01 00:29:09,1,.60,1,N,90,186,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2019-03-01 00:40:41,2019-03-01 00:45:45,1,1.40,1,N,163,246,1,6,3,0.5,0.98,0,0.3,10.78,2.5
2,2019-03-01 00:48:00,2019-03-01 01:27:24,1,5.18,1,N,161,87,1,26,0.5,0.5,5.96,0,0.3,35.76,2.5
2,2019-02-28 21:22:31,2019-02-28 21:51:35,1,19.47,2,N,132,114,1,52,0,0.5,10,0,0.3,65.3,2.5
2,2019-03-01 00:02:11,2019-03-01 00:38:43,1,4.64,1,N,231,37,1,25,0.5,0.5,5.76,0,0.3,34.56,2.5
2,2019-03-01 00:17:26,2019-03-01 00:23:58,1,.89,1,N,162,164,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2019-03-01 00:27:20,2019-03-01 00:37:24,1,1.88,1,N,164,114,1,9,0.5,0.5,2.06,0,0.3,14.86,2.5
